OUTPUT 1,SQL,,,,,,
,,,,,,,
COUNT_ISSUE,PCT_RESOLVED,PCT_RESOLVED_0D,PCT_RESOLVED_1D,PCT_RESOLVED_3D,PCT_RESOLVED_5D,PCT_RESOLVED_7D,PCT_RESOLVED_10D
291384,81.95%,74.81%,75.73%,76.72%,77.34%,77.88%,78.35%
,238789.188,91.29%,,223549.8048,,95.03%,
,,,,93.62%,,,
TABLE TASK 1,README,,,,,,
,,,,,,,
,TOTAL,SAME DAY,1 DAY OR LESS,3 DAYS OR LESS,5 DAYS OR LESS,7 DAYS OR LESS (CURRENT TIME WINDOW),
RESOLUTION RATE,81.95%,74.81%,75.73%,76.72%,77.34%,77.88%,
% RESOLUTION OF THE TOTAL,100%,91.29%,92.41%,93.62%,94.37%,95.03%,
PP. INCREMENTAL,,,1.12%,1.21%,0.76%,0.66%,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
OUTPUT 2,SQL,,,,,,
TABLE TASK 2,README,,,,,,
COUNTRY,CHANNEL,COUNT_ISSUE,ISSUE_TOUCHPOINTS,ISSUE_RESPONSE_TIME_HR,PCT_RESOLVED_7D,,
FR,call,44546,1.16,1.64,83.15,,
FR,chat,36067,1.1,1.49,78.72,,
FR,email,64592,1.32,47.35,70.27,,
IT,call,56855,1.15,0.54,84.69,,
IT,chat,41531,1.11,0.56,80.94,,
IT,email,47907,1.31,29.24,71.7,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
OUTPUT 3,SQL,,,,,,
TABLE TASK 3,README,,,,,,
CHANNEL,AGENT_COMPANY,COUNT_ISSUE,ISSUE_AGENTS,ISSUE_RESPONSE_TIME_HR,PCT_RESOLVED_7D,,
call,BPO1,50835,1.14,1.02,83.64,,
call,BPO2,47328,1.14,0.99,84.27,,
call,SUMUP,3232,1.14,1.58,86.36,,
chat,BPO1,72736,1.1,0.98,79.91,,
chat,BPO2,4867,1.1,1.13,79.76,,
chat,SUMUP,1,1,0,100,,
email,BPO1,32970,1.07,22.58,71.99,,
email,BPO2,7299,1.08,21.12,72.45,,
email,SUMUP,70556,1.06,50.45,70.22,,
,,,,,,,
,,,,,,,
,,,,,,,
OUTPUT 4,SQL,,,,,,
TABLE TASK 3,README,,,,,,
,AGENT COMPANY,COUNT ISSUE,AGENTS ISSUE,ISSUE RESPONSE TIME HOURS,PCT RESOLVED 7D,,
,BPO1,156498,1.1,5.54,79.47%,,
,BPO2,59491,1.13,3.47,82.46%,,
,SUMUP,73789,1.06,48.31,70.92%,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
OUTPUT 5,SQL,,,,,,
TABLE 1 TASK 4,README,,,,,,
CHANNEL,DIST_AGENT,COUNT_TOUCHPOINT,SUM_HANDLING_TIME,,,,
email,1,146955,,,,,
chat,427,89243,78936053,,,,
call,322,114587,86448899,,,,
,,,,,,,
,,,,,,,
,,,,,,,
OUTPUT 6,SQL,,,,,,
TABLE 2 TASK 4,README,,,,,,
MONTH,DIST_AGENT,,,,,,
1,256,,,,,,
2,282,,,,,,
3,288,,,,,,
4,292,,,,,,
5,288,,,,,,
6,282,,,,,,
7,273,,,,,,
8,262,,,,,,
9,281,,,,,,
10,283,,,,,,
11,276,,,,,,
12,247,,,,,,
Average,276,"€500,000","€1,812.69","€498,187.31",,,
,,,,,,,
,,,,,,,
,,,,,,,
OUTPUT 7,SQL,,,,,,
TABLE 3 TASK 4,README,,,,,,
MONTH,CHANNEL,SUM_ADJUSTED_HANDLING_TIME,PCT_HANDLING_TIME,AVG_PCT_HANDLING_TIME_BY_CHANNEL,CHANNEL COST,AVG CHANNEL COST,
1,call,5848506,0.76,0.77,"€378,622","€383,604",
1,chat,1856919,0.24,0.23,"€119,565","€114,583",
2,call,6139677,0.77,0.77,"€383,604",,
2,chat,1819007,0.23,0.23,"€114,583",,
3,call,7801113,0.79,0.77,"€393,568",,
3,chat,2075588,0.21,0.23,"€104,619",,
4,call,6870598,0.79,0.77,"€393,568",,
4,chat,1810108,0.21,0.23,"€104,619",,
5,call,8889349,0.78,0.77,"€388,586",,
5,chat,2466500,0.22,0.23,"€109,601",,
6,call,8002191,0.77,0.77,"€383,604",,
6,chat,2364551,0.23,0.23,"€114,583",,
7,call,7839406,0.78,0.77,"€388,586",,
7,chat,2253498,0.22,0.23,"€109,601",,
8,call,6949355,0.77,0.77,"€383,604",,
8,chat,2095309,0.23,0.23,"€114,583",,
9,call,8112168,0.75,0.77,"€373,640",,
9,chat,2677921,0.25,0.23,"€124,547",,
10,call,7017482,0.74,0.77,"€368,659",,
10,chat,2507615,0.26,0.23,"€129,529",,
11,call,6314247,0.73,0.77,"€363,677",,
11,chat,2363670,0.27,0.23,"€134,511",,
12,call,6664807,0.77,0.77,"€383,604",,
12,chat,2021304,0.23,0.23,"€114,583",,
,,,,,,,
TABLE 4 TASK 4,README,,,,,,
CHANNEL,AVG_PCT_HANDLING_TIME_BY_CHANNEL,AVG CHANNEL COST,,,,,
call,0.77,"€383,604",,,,,
chat,0.23,"€114,583",,,,,